null2,bsA
-95746.438792,-95746.438792
-95174.534153,-95174.534153
-94988.100234,-94988.100234
-94386.404271,-94386.404270
-94843.541906,-94843.541906
-94005.107866,-94005.107866
-93895.588339,-93895.588338
-94034.216759,-94034.216759
-94327.301929,-94327.301930
-94798.616935,-94798.616935
-94584.720411,-94584.716823
-94713.767485,-94713.767485
-95447.180664,-95447.180663
-95318.533392,-95318.533390
-94616.203710,-94616.203710
-95663.014253,-95662.880303
-96684.999467,-96684.999467
-94899.000310,-94899.000310
-94695.218218,-94695.218217
-94970.164122,-94970.165453
-93908.684728,-93908.684771
-94254.942423,-94254.942423
-94636.762520,-94636.762520
-95525.251416,-95525.251416
-95231.093061,-95231.093062
-93868.239308,-93867.417281
-94484.097971,-94484.097971
-95017.890467,-95017.890467
-95023.941086,-95023.941086
-95363.516218,-95362.394927
-94913.107103,-94913.107103
-94990.478189,-94990.478189
-94895.077977,-94894.483650
-94514.253461,-94514.253460
-95523.998312,-95523.998312
-96756.378417,-96756.378417
-95583.014992,-95583.014991
-95123.974923,-95123.974922
-94808.480217,-94808.480217
-95972.985392,-95972.707223
-94207.624876,-94207.624878
-94262.839109,-94262.839109
-94246.353893,-94246.353892
-95116.781050,-95116.781050
-94076.892475,-94076.892474
-94552.173794,-94552.173794
-94745.530636,-94745.530636
-94069.613737,-94069.613737
-94696.239112,-94696.159548
-94910.158261,-94910.158261
-94847.994401,-94847.993262
-95643.521910,-95643.521911
-94779.074972,-94779.074972
-95126.928108,-95126.928108
-94536.387040,-94536.387040
-94614.459828,-94614.459828
-95531.292602,-95531.292602
-94963.889943,-94963.889943
-94566.846597,-94566.846595
-94664.081667,-94664.081667
-94557.160189,-94557.160189
-94540.592946,-94540.594286
-95353.462087,-95353.462087
-95314.448028,-95314.448032
-95234.001802,-95234.007860
-95893.744193,-95893.738902
-94414.298029,-94414.078004
-95347.966376,-95347.966377
-94107.929683,-94107.949975
-95532.199864,-95532.199524
-95064.696880,-95064.243928
-95544.584982,-95544.584982
-94193.180048,-94193.180054
-94709.379024,-94709.381156
-95104.844241,-95104.844241
-94498.190761,-94497.650052
-95087.032638,-95087.032638
-94494.315499,-94494.315500
-95614.089871,-95614.067069
-94366.531305,-94366.531305
-94839.991757,-94839.991757
-94945.305365,-94945.305365
-94207.298096,-94206.928281
-94729.098285,-94729.096180
-95313.448702,-95313.448702
-94337.317868,-94337.317865
-94249.885016,-94249.885017
-95711.272231,-95711.240569
-96242.044748,-96242.044748
-94838.227582,-94838.227582
-95300.389346,-95300.389346
-95262.898197,-95262.670803
-95564.961752,-95564.961752
-95304.889552,-95304.889552
-94948.610908,-94948.430698
-95413.681047,-95413.130143
-95080.035009,-95080.078108
-95274.718685,-95274.718685
-96163.825582,-96163.825582
-94698.888101,-94698.876445
-95056.948810,-95056.948810
-95271.104923,-95271.104923
-94885.370484,-94885.370489
-95810.340957,-95810.336713
-94884.319678,-94884.289436
-96144.468480,-96144.040807
-94931.710012,-94931.710012
-95625.202350,-95625.202350
-94014.159417,-94014.159420
-95346.354247,-95346.354247
-95175.563471,-95175.563471
-94838.797314,-94838.797314
-93962.888150,-93962.116358
-95315.033944,-95315.033943
-94334.103918,-94334.104165
-94834.127793,-94834.127793
-94887.895213,-94887.895213
-95383.200346,-95383.200346
-94627.156969,-94627.156969
-94410.776160,-94410.774489
-94254.200326,-94254.200326
-96891.915180,-96891.915180
-94270.455139,-94270.455139
-95420.663151,-95420.663151
-95094.922117,-95094.922117
-94451.940107,-94451.262749
-94452.928457,-94452.928457
-95430.583566,-95430.583566
-94889.263584,-94889.263584
-95255.133400,-95255.133400
-94272.652607,-94272.652607
-94988.856868,-94988.825900
-95503.600381,-95503.600381
-95667.828269,-95667.796187
-95136.769809,-95136.769809
-94922.497368,-94922.497369
-95290.163984,-95286.047295
-95449.331597,-95449.331597
-95544.930050,-95544.930050
-94285.564109,-94284.026668
-95115.146455,-95115.146455
-94837.187588,-94837.199653
-96247.824789,-96247.824789
-94553.739443,-94553.739445
-94819.322247,-94819.322247
-96353.135467,-96353.135466
-95574.181548,-95574.181544
-95108.605088,-95108.605088
-94644.837463,-94644.837463
-94775.690071,-94775.690071
-94981.247201,-94981.135910
-93818.923046,-93818.923046
-94246.888198,-94246.888198
-94913.416270,-94913.416270
-95295.505575,-95295.505576
-95636.649936,-95636.649936
-95895.209181,-95895.209180
-95289.357454,-95289.357454
-94834.878338,-94834.878339
-94769.691506,-94769.691506
-96069.463485,-96069.463485
-95175.363542,-95175.363542
-95621.336247,-95621.336247
-96167.850667,-96167.850667
-94637.909752,-94637.850171
-96510.251118,-96510.251117
-94203.619860,-94203.619860
