null2,bsA
-76499.966868,-76499.966868
-76445.296762,-76445.296762
-77375.936192,-77375.935270
-76630.616165,-76630.515905
-76404.813294,-76404.528243
-77564.908785,-77564.908785
-76378.784303,-76378.784303
-76846.313795,-76846.313795
-76852.116684,-76852.046344
-76603.820847,-76603.820847
-76586.554023,-76586.554023
-77465.487171,-77465.487171
-76622.339141,-76622.339141
-76584.446066,-76584.414711
-76094.474725,-76094.474725
-77006.478220,-77006.460385
-76316.472400,-76316.419018
-76985.142658,-76983.900804
-77384.308762,-77384.308762
-76637.131522,-76637.076414
-76978.429447,-76978.429304
-76881.513047,-76881.513047
-77253.275482,-77253.275482
-76943.986160,-76943.949089
-76397.033308,-76397.033308
-76935.283966,-76935.221609
-76762.325963,-76762.325963
-76005.265015,-76005.260399
-75746.962831,-75745.549230
-76616.153591,-76616.153591
-76483.690116,-76483.690116
-76802.615887,-76802.615887
-76768.789173,-76768.789173
-76757.465910,-76757.465910
-76778.740820,-76778.740820
-77430.002528,-77430.002528
-76980.366391,-76980.366391
-76846.989881,-76846.796555
-76332.382127,-76332.382127
-76349.201026,-76347.649064
-76784.999051,-76784.999051
-77324.192086,-77324.173171
-76709.916255,-76709.916256
-77009.656963,-77009.588969
-76741.826645,-76741.822905
-77035.222873,-77034.655120
-76834.221331,-76834.221331
-76344.163283,-76343.593866
-76850.997467,-76850.997467
-77240.878710,-77240.875263
-76870.301347,-76870.274454
-77360.177414,-77360.177414
-75948.657418,-75948.657419
-76324.645900,-76324.645900
-76680.147992,-76680.140255
-77304.000272,-77304.000272
-77330.236000,-77330.233228
-77211.948790,-77211.948790
-76989.415311,-76989.415311
-76464.401396,-76464.401396
-76855.823287,-76852.835949
-77198.512514,-77198.512514
-76786.932700,-76786.932556
-77203.576004,-77203.576004
-77235.132133,-77235.132133
-76618.928599,-76618.928599
-77470.666517,-77470.655027
-76792.154327,-76792.149699
-76680.505241,-76680.505241
-77165.226405,-77165.226405
-76591.202548,-76591.160952
-76952.706956,-76952.704995
-76839.070451,-76839.070451
-76693.437419,-76693.437419
-77441.581655,-77441.359544
-77720.443065,-77720.297538
-77168.047235,-77168.047236
-76523.678769,-76523.678770
-76703.374038,-76703.374038
-76348.653899,-76348.069686
-76338.998423,-76338.998423
-77109.667364,-77109.666227
-76611.882801,-76611.882801
-77140.245278,-77140.245278
-76368.615701,-76368.157696
-76465.809211,-76465.809211
-77183.930521,-77183.928512
-76303.358930,-76303.358930
-77003.183561,-77003.183561
-76799.860832,-76798.469789
-77065.416853,-77065.416853
-76849.360954,-76849.340402
-77303.926472,-77302.615370
-76406.103860,-76404.957653
-76842.729019,-76842.659182
-76615.547796,-76615.547796
-76840.532604,-76840.532604
-76620.971362,-76620.720552
-76573.250808,-76573.250799
-76746.543016,-76746.193525
-76871.905065,-76871.905065
-76926.665349,-76926.665349
-76784.768796,-76784.768796
-77104.438738,-77104.438738
-76443.569059,-76443.569059
