null2,bsA
-71414.026892,-71414.026892
-71110.647126,-71110.614661
-70995.705955,-70995.521824
-71305.658354,-71303.845290
-72022.475236,-72022.475236
-71609.395044,-71609.389446
-71903.410122,-71903.368778
-71861.005879,-71861.005879
-70709.173199,-70707.846623
-71073.174650,-71072.703422
-71031.641695,-71031.633505
-71226.896532,-71226.889493
-71032.822020,-71032.709121
-71427.197690,-71427.178059
-71483.154724,-71483.059272
-71377.451254,-71377.451254
-71140.118692,-71140.110018
-71417.381628,-71417.381628
-71443.581717,-71443.541394
-70929.706312,-70929.550995
-71638.419896,-71638.278760
-71512.092395,-71510.982110
-71249.866954,-71249.866954
-71059.166712,-71059.166712
-71202.119683,-71202.119683
-71621.466091,-71621.466091
-71471.760622,-71471.538022
-71822.519826,-71822.301843
-71712.900948,-71712.900948
-71811.351281,-71811.351281
-71546.680874,-71546.676052
-71252.214601,-71251.912236
-71792.366221,-71792.231951
-71990.260294,-71990.260294
-72160.358148,-72160.358148
-71064.713184,-71064.713184
-71828.589494,-71828.589494
-71446.995911,-71446.995911
-71762.715268,-71762.567351
-71233.634977,-71233.622138
-71389.163620,-71389.163620
-71364.306834,-71364.306834
-71719.729390,-71719.722080
-70975.725231,-70975.725231
-71284.614612,-71284.614612
-71646.027401,-71645.900865
-70949.905722,-70949.236268
-70677.410888,-70677.410888
-71210.797983,-71210.361025
-71777.787290,-71776.539691
-71275.359657,-71275.142485
-71624.392184,-71624.392184
-71602.898766,-71601.762256
-71159.042876,-71159.042876
-71101.840620,-71101.590426
-71639.028359,-71639.028359
-70625.999306,-70625.636424
-70968.897057,-70968.897057
-71574.706169,-71573.946047
-71608.100065,-71608.100065
-70760.318677,-70760.318677
-70393.760868,-70393.760868
-70957.578900,-70957.489242
-71311.446058,-71311.138715
-71467.005457,-71466.551419
-71025.282954,-71025.282954
-71232.870732,-71232.870732
-71384.538946,-71383.685589
-71278.659050,-71278.659050
-71140.347622,-71140.347622
-70983.176004,-70982.983975
-71470.558182,-71470.558182
-70983.187077,-70983.187077
-71308.597846,-71307.932226
-70870.061333,-70868.615788
-71744.111257,-71743.964683
-71764.792813,-71764.792813
-71784.215032,-71784.215032
-71246.485458,-71245.870561
-71228.591937,-71228.588320
-70754.616254,-70754.291698
-71244.528330,-71244.528330
-71292.853158,-71292.853158
-70880.363147,-70880.359682
-71521.689172,-71521.260726
-71186.141905,-71186.095745
-72261.859665,-72261.859665
-72004.773185,-72004.773185
-72053.810869,-72053.800365
-71813.147441,-71813.143681
-71619.032730,-71619.032730
-71876.379477,-71875.567091
-71568.433045,-71568.433045
-71080.586258,-71080.586258
-71742.796236,-71742.796209
-70982.845820,-70982.840410
-71188.423023,-71188.423023
-71875.243427,-71875.243427
-71676.566681,-71676.566681
-70995.660799,-70995.660799
-71534.283626,-71534.278012
-71600.396852,-71600.396852
-71454.728307,-71454.728307
-71371.355848,-71371.355848
-71532.473207,-71532.473207
-72456.580656,-72456.457851
-71101.215286,-71101.215286
-72110.919362,-72110.919362
-71047.323504,-71047.299393
